qid,label
Q119494,Mandalay Region
Q140646,Kachin State
Q233838,Rakhine State
Q2613737,Pa Laung Self-Administered Zone
Q2614061,Pa-O Self-Administered Zone
Q2701988,Naga Self-Administered Zone
Q2701995,Danu Self-Administered Zone
Q3712127,Wa Self-Administered Division
Q4024716,Kokang Self-Administered Zone
Q456847,Shan State
Q46910,Chin State
Q47047,Ayeyarwady Region
Q4796,Naypyidaw Union Territory
Q495342,Kayin State
Q652845,Kayah State
Q800124,Bago Region
Q818742,Mon State
Q833013,Magway Region
Q843954,Tanintharyi Region
Q847289,Sagaing Region
Q856781,Yangon Region
